Species,Replace
Senecio_jacobaea,Jacobaea_vulgaris
Quercus_sp,Quercus_sp.
Epilobium_sp,Epilobium_sp.
Crepis_sp_OR_Hieracium_sp,
Lotus_sp,Lotus_sp.
Vulpia_bromoides,Festuca_bromoides
Myosotis_sp,Myosotis_sp.
Lotus_pendunculatus,Lotus_pedunculatus
Circaea_lutetiansa,Circaea_lutetiana
Vicia_sp,Vicia_sp.
Rumex_sp,Rumex_sp.
Myosotis_sylvatica_/_arvensis,Myosotis_sylvatica
Taraxacum_officinale,Taraxacum
Salix_fragilis,Salix_x_fragilis
Vicia_tetrasperma_OR_sativa,Vicia_tetrasperma
Salix_sp,Salix_sp.
Rosa_sp,Rosa_sp.
Clinopodium_sp,Clinopodium_sp.